bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
	04-115-7G	04-115-7G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-115-7G_R1.fastq	04-115-7G_R2.fastq
	04-103-5T	04-103-5T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-103-5T_R1.fastq	04-103-5T_R2.fastq
	04-172-0T	04-172-0T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-172-0T_R1.fastq	04-172-0T_R2.fastq
	03-076-8TI	03-076-8TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-076-8-TI_R1.fastq	03-076-8-TI_R2.fastq
	04-172-0G	04-172-0G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-172-0G_R1.fastq	04-172-0G_R2.fastq
	04-103-5G	04-103-5G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-103-5G_R1.fastq	04-103-5G_R2.fastq
	04-172-0B	04-172-0B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-172-0B_R1.fastq	04-172-0B_R2.fastq
	04-086-2G	04-086-2G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-086-2G_R1.fastq	04-086-2G_R2.fastq
	03-055-1TI	03-055-1TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-055-1TI_R1.fastq	03-055-1TI_R2.fastq
	04-086-2B	04-086-2B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-086-2B_R1.fastq	04-086-2B_R2.fastq
	01-270-3G	01-270-3G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	01-270-3-G_R1.fastq	01-270-3-G_R2.fastq
	04-201-8G	04-201-8G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-201-8-G_R1.fastq	04-201-8-G_R2.fastq
	03-076-8SI	03-076-8SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-076-8-SI_R1.fastq	03-076-8-SI_R2.fastq
	04-201-8B	04-201-8B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-201-8-B_R1.fastq	04-201-8-B_R2.fastq
	04-086-2T	04-086-2T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-086-2T_R1.fastq	04-086-2T_R2.fastq
	04-201-8T	04-201-8T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-201-8-T_R1.fastq	04-201-8-T_R2.fastq
	01-270-3T	01-270-3T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	01-270-3-T_R1.fastq	01-270-3-T_R2.fastq
	14-233-0B	14-233-0B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	14-233-0-B_R1.fastq	14-233-0-B_R2.fastq
	04-011-3B	04-011-3B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-011-3B_R1.fastq	04-011-3B_R2.fastq
	04-011-3G	04-011-3G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-011-3G_R1.fastq	04-011-3G_R2.fastq
	022-3-F1T	022-3-F1T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	022-3-F1T_R1.fastq	022-3-F1T_R2.fastq
	01-263-4GI	01-263-4GI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	01-263-4-GI_R1.fastq	01-263-4-GI_R2.fastq
	03-149-1SI	03-149-1SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-149-1-SI_R1.fastq	03-149-1-SI_R2.fastq
	03-182-8TI	03-182-8TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-182-8-TI_R1.fastq	03-182-8-TI_R2.fastq
	12-100-3T	12-100-3T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	12-100-3T_R1.fastq	12-100-3T_R2.fastq
	041-3-F1	041-3-F1	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	041-3-F1_R1.fastq	041-3-F1_R2.fastq
	03-226-4TI	03-226-4TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-226-4-TI_R1.fastq	03-226-4-TI_R2.fastq
	04-087-1G	04-087-1G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-087-1g_R1.fastq	04-087-1g_R2.fastq
	036-2-F1	036-2-F1	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	036-2-F1_R1.fastq	036-2-F1_R2.fastq
	04-087-1B	04-087-1B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-087-1B_R1.fastq	04-087-1B_R2.fastq
	13-117-4G	13-117-4G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	13-117-4G_R1.fastq	13-117-4G_R2.fastq
	043-7-F1	043-7-F1	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	043-7-F1_R1.fastq	043-7-F1_R2.fastq
	026-8-F1T	026-8-F1T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	026-8-F1T_R1.fastq	026-8-F1T_R2.fastq
	04-261-9G	04-261-9G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-261-9-G_R1.fastq	04-261-9-G_R2.fastq
	04-087-1T	04-087-1T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-087-1T_R1.fastq	04-087-1T_R2.fastq
	04-261-9B	04-261-9B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-261-9-B_R1.fastq	04-261-9-B_R2.fastq
	13-071-2G	13-071-2G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	13-071-2G_R1.fastq	13-071-2G_R2.fastq
	13-071-2B	13-071-2B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	13-071-2B_R1.fastq	13-071-2B_R2.fastq
	04-090-3B	04-090-3B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-090-3B_R1.fastq	04-090-3B_R2.fastq
	03-226-4SI	03-226-4SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-226-4-SI_R1.fastq	03-226-4-SI_R2.fastq
	04-260-8G	04-260-8G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-260-8-G_R1.fastq	04-260-8-G_R2.fastq
	02-111-4G	02-111-4G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	02-111-4G_R1.fastq	02-111-4G_R2.fastq
	14-233-0T	14-233-0T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	14-233-0-T_R1.fastq	14-233-0-T_R2.fastq
	04-255-1G	04-255-1G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-255-1-G_R1.fastq	04-255-1-G_R2.fastq
	04-155-3G	04-155-3G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-155-3G_R1.fastq	04-155-3G_R2.fastq
	04-129-7B	04-129-7B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-129-7B_R1.fastq	04-129-7B_R2.fastq
	04-129-7G	04-129-7G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-129-7G_R1.fastq	04-129-7G_R2.fastq
	04-159-2T	04-159-2T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-159-2T_R1.fastq	04-159-2T_R2.fastq
	02-111-4T	02-111-4T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	02-111-4T_R1.fastq	02-111-4T_R2.fastq
	58-4-TI	58-4-TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	58-4-TI_R1.fastq	58-4-TI_R2.fastq
	04-155-3T	04-155-3T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-155-3T_R1.fastq	04-155-3T_R2.fastq
	03-124-8T	03-124-8T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-124-8T_R1.fastq	03-124-8T_R2.fastq
